Municipio,Sector,Estrato,Servicio,Cargo Fijo,Cargo por Consumo Menor,Cargo por Consumo Mayor,Cargo por Consumo,Suspensión,Reinstalación,Reconexión,Corte,Año,Mes
Copacabana,Oficial y Exenta,Oficial y Exenta,Acueducto,7047.39,0.00,0.00,3234.50,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Oficial y Exenta,Oficial y Exenta,Alcantarillado,4053.17,0.00,0.00,2595.14,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Residencial,1,Acueducto,3523.70,1617.25,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Residencial,1,Alcantarillado,2026.59,1297.57,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Residencial,2,Acueducto,4369.38,2005.39,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Residencial,2,Alcantarillado,2431.90,1557.08,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Residencial,3,Acueducto,7047.39,3234.50,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Residencial,3,Alcantarillado,4053.17,2595.14,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Residencial,4,Acueducto,7047.39,3234.50,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Residencial,4,Alcantarillado,4053.17,2595.14,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Residencial,5,Acueducto,11487.25,5272.24,5272.24,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Residencial,5,Alcantarillado,6079.76,3892.71,3892.71,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Residencial,6,Acueducto,13601.46,6242.59,6242.59,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Copacabana,Residencial,6,Alcantarillado,7174.11,4593.40,4593.40,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Comercial,Comercial,Acueducto,10571.09,0.00,0.00,4851.75,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Comercial,Comercial,Alcantarillado,6079.76,0.00,0.00,3892.71,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Industrial,Industrial,Acueducto,9161.61,0.00,0.00,4204.85,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Industrial,Industrial,Alcantarillado,5269.12,0.00,0.00,3373.68,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Oficial y Exenta,Oficial y Exenta,Acueducto,7047.39,0.00,0.00,3234.50,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Oficial y Exenta,Oficial y Exenta,Alcantarillado,4053.17,0.00,0.00,2595.14,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Residencial,1,Acueducto,2114.22,970.35,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Residencial,1,Alcantarillado,1215.95,778.54,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Residencial,2,Acueducto,4228.43,1940.70,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Residencial,2,Alcantarillado,2431.90,1557.08,2595.14,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
Envigado,Residencial,3,Acueducto,6695.20,3072.78,3234.50,0.00,12719.36,10902.31,19987.57,21804.62,2021,Octubre
